职位名称,公司名称,公司类型,融资情况,公司规模
云平台负责人【北京】,某北京知名公司,互联网,已上市,10000人以上
解决方案销售经理【郑州-管城区】,SmartX,计算机软件,C轮,100-499人
Digital Design Manager/Engineer（DPU）【上海】,某知名公司,计算机硬件,战略融资,100-499人
124323资深运维专家（存储运维）【深圳-南山区】,大疆创新,智能硬件, ,10000人以上
主机系统运维及开发【天津】,某北京计算机软件公司,计算机软件,融资未公开,100-499人
软件测试工程师【成都-高新区】,新华三集团,通信设备, ,10000人以上
医院行业销售经理（成都）【成都-高新区】,SmartX,计算机软件,C轮,100-499人
云存储虚拟化开发工程师【成都】,字节跳动,互联网,其他,10000人以上
SSD固件研发工程师【上海-闵行区】,字节跳动,互联网,其他,10000人以上
Golang开发工程师(K9308)【深圳-南山区】,XSKY星辰天合,计算机软件,D轮,500-999人
分布式存储研发工程师(J10679)【杭州-余杭区】,中国移动杭州研发中心,计算机软件, ,1000-2000人
系统软件工程师【深圳-龙岗区】,国内知名芯片公司,电子/芯片/半导体,战略融资,100-499人
高级存储研发工程师（全国）【北京-海淀区】,网宿科技,互联网,沪深A股上市,2000-5000人
数字验证工程师【上海-徐汇区】,芯潮流(珠海)科技有限公司,计算机软件, ,1-49人
医院行业销售经理（西安）【西安-长安区】,SmartX,计算机软件,C轮,100-499人
性能优化工程师/架构师【成都-武侯区】,云和恩墨,IT服务,C轮,500-999人
研发专家（存储研发方向）【北京-海淀区】,某北京大型计算机软件公司,计算机软件,战略融资,2000-5000人
软件测试工程师【郑州-高新区】,新华三集团,通信设备, ,10000人以上
高级云数据库架构专家-paas(J11444)【苏州-虎丘区】,中移软件技术,运营商/增值服务,其他,1000-2000人
备份与容灾工程师【上海】,硕软(上海)软件贸易有限公司,计算机软件,美股上市,100-499人
研发项目经理TPM【北京】,SmartX,计算机软件,C轮,100-499人
存储研发专家（成都、上海、北京、杭州）【北京】,某北京大型计算机软件公司,计算机软件,战略融资,2000-5000人
云计算专家（IAAS）【广州】,某广州计算机软件上市公司,计算机软件,已上市,10000人以上
IT系统网络工程师【苏州】,诺一迈尔(苏州)医学科技有限公司,医疗器械,A轮,100-499人
测试工程师(Y4040)【成都-高新区】,XSKY星辰天合,计算机软件,D轮,500-999人
运维工程师【西安】,软通动力,互联网, ,10000人以上
DV Engineer (DPU) 上海、苏州【上海】,某知名公司,计算机硬件,战略融资,100-499人
DICT交付经理（现场交付方向）【福州-鼓楼区】,福建福诺移动通信技术有限公司,互联网, ,500-999人
测试开发工程师【北京】,SmartX,计算机软件,C轮,100-499人
售后技术支持经理【上海-浦东新区】,SmartX,计算机软件,C轮,100-499人
运维开发工程师【北京】,中国国际金融股份有限公司,基金/证券/期货,沪深A股上市,5000-10000人
高级服务端开发工程师【珠海-香洲区】,金山办公软件,互联网,科创板上市,2000-5000人
